query,WeightedFirstRankingAgregator,WeightedRankingAgregator,WeightedRankingAgregator701010,lucene,bing.com,google.com,npmjs.comoptimal20,npmsearch.comdownload free music,12,2,2,12,0,1,2,0
download web videos,13,1,1,13,1,0,1,0
check valid email address,16,3,3,16,0,2,16,0
send sms,20,2,2,18,0,2,14,0
convert audio to text,2,0,0,2,0,0,0,0
quick sort algorithm,19,3,3,18,7,6,8,0
filter adult content images,4,0,0,3,0,5,0,0
user authentication,19,4,4,17,1,4,13,1
extract barcode from image,7,0,0,4,0,2,0,0
convert data formats,16,2,2,15,1,1,16,1
convert typewritten image to text document,4,1,1,4,0,5,0,0
currency convertions,0,null,null,null,null,null,null,null
build tcp server,null,null,null,null,null,null,null,null
face recognition,null,null,null,null,null,null,null,null
make regular expressions,null,null,null,null,null,null,null,null
build ftp client,null,null,null,null,null,null,null,null
text language corrector,null,null,null,null,null,null,null,null
crate web animations,null,null,null,null,null,null,null,null
convert files types,null,null,null,null,null,null,null,null
calculate food calories,null,null,null,null,null,null,null,null
get food calories,null,null,null,null,null,null,null,null
fiter content images,null,null,null,null,null,null,null,null
validate phone number,null,null,null,null,null,null,null,null
locate address,null,null,null,null,null,null,null,null
get movie rating,null,null,null,null,null,null,null,null
validate us phone number,null,null,null,null,null,null,null,null
find basket championship information,null,null,null,null,null,null,null,null
depth first search algorithms,null,null,null,null,null,null,null,null
create tic tac toe game,null,null,null,null,null,null,null,null
download videos from youtube,null,null,null,null,null,null,null,null
convert host domain name to ip,null,null,null,null,null,null,null,null
get shortest path,null,null,null,null,null,null,null,null
get ip,null,null,null,null,null,null,null,null
convert dollars to pounds,null,null,null,null,null,null,null,null
find ocean information,null,null,null,null,null,null,null,null
user login,null,null,null,null,null,null,null,null
get us weather forecast,null,null,null,null,null,null,null,null
create pdf from table,null,null,null,null,null,null,null,null
convert pdf to excel,null,null,null,null,null,null,null,null
get shortest routes,null,null,null,null,null,null,null,null
detect text language,null,null,null,null,null,null,null,null
perform domain name lookup,null,null,null,null,null,null,null,null
get free music,null,null,null,null,null,null,null,null
e shop application,null,null,null,null,null,null,null,null
create pdf,null,null,null,null,null,null,null,null
get game rating,null,null,null,null,null,null,null,null
find business telephone directory,null,null,null,null,null,null,null,null
convert pesos to dollars,null,null,null,null,null,null,null,null
build rmi server,null,null,null,null,null,null,null,null
build ftp server,null,null,null,null,null,null,null,null
face age recognition,null,null,null,null,null,null,null,null
get ip location,null,null,null,null,null,null,null,null
create a bounded buffer,null,null,null,null,null,null,null,null
build chat server,null,null,null,null,null,null,null,null
convert word to pdf,null,null,null,null,null,null,null,null
send sms us,null,null,null,null,null,null,null,null
download music from youtube,null,null,null,null,null,null,null,null
download music from spotify,null,null,null,null,null,null,null,null
locate address us,null,null,null,null,null,null,null,null
