k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02127659574468085,0.04166666666666667,1
2,2.0,1.0,0.0425531914893617,0.08163265306122448,1
3,3.0,1.0,0.06382978723404255,0.12,1
4,4.0,1.0,0.0851063829787234,0.1568627450980392,1
5,5.0,1.0,0.10638297872340426,0.1923076923076923,1
6,6.0,1.0,0.1276595744680851,0.22641509433962262,1
7,7.0,1.0,0.14893617021276595,0.25925925925925924,1
8,8.0,1.0,0.1702127659574468,0.2909090909090909,1
9,9.0,1.0,0.19148936170212766,0.32142857142857145,1
10,10.0,1.0,0.2127659574468085,0.3508771929824561,1
11,11.0,1.0,0.23404255319148937,0.3793103448275862,1
12,12.0,1.0,0.2553191489361702,0.4067796610169491,1
13,13.0,1.0,0.2765957446808511,0.43333333333333335,1
14,14.0,1.0,0.2978723404255319,0.45901639344262296,1
15,15.0,1.0,0.3191489361702128,0.48387096774193555,1
16,15.0,0.9375,0.3191489361702128,0.4761904761904763,0
17,16.0,0.9411764705882353,0.3404255319148936,0.5,1
18,17.0,0.9444444444444444,0.3617021276595745,0.5230769230769231,1
19,18.0,0.9473684210526315,0.3829787234042553,0.5454545454545454,1
20,19.0,0.95,0.40425531914893614,0.5671641791044776,1
